START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/01/24,06:35 PM,06:35 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/01/24,04/01/24,09:35 PM,09:35 PM,FALSE,TRUE,04/01/24,05:35 PM,05:35 PM,FREE,BUSY
04/02/24,06:35 PM,06:35 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/02/24,04/02/24,09:35 PM,09:35 PM,FALSE,TRUE,04/02/24,05:35 PM,05:35 PM,FREE,BUSY
04/03/24,01:05 PM,01:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/03/24,04/03/24,04:05 PM,04:05 PM,FALSE,TRUE,04/03/24,12:05 PM,12:05 PM,FREE,BUSY
04/05/24,04:12 PM,04:12 PM,Orioles at Pirates,PNC Park - Pittsburgh,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/05/24,04/05/24,07:12 PM,07:12 PM,FALSE,TRUE,04/05/24,03:12 PM,03:12 PM,FREE,BUSY
04/06/24,04:05 PM,04:05 PM,Orioles at Pirates,PNC Park - Pittsburgh,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/06/24,04/06/24,07:05 PM,07:05 PM,FALSE,TRUE,04/06/24,03:05 PM,03:05 PM,FREE,BUSY
04/07/24,01:35 PM,01:35 PM,Orioles at Pirates,PNC Park - Pittsburgh,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/07/24,04/07/24,04:35 PM,04:35 PM,FALSE,TRUE,04/07/24,12:35 PM,12:35 PM,FREE,BUSY
04/09/24,02:10 PM,02:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/09/24,04/09/24,05:10 PM,05:10 PM,FALSE,TRUE,04/09/24,01:10 PM,01:10 PM,FREE,BUSY
04/10/24,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/10/24,04/10/24,10:10 PM,10:10 PM,FALSE,TRUE,04/10/24,06:10 PM,06:10 PM,FREE,BUSY
04/11/24,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/11/24,04/11/24,10:10 PM,10:10 PM,FALSE,TRUE,04/11/24,06:10 PM,06:10 PM,FREE,BUSY
04/12/24,07:05 PM,07:05 PM,Brewers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: Apple TV+ ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",04/12/24,04/12/24,10:05 PM,10:05 PM,FALSE,TRUE,04/12/24,06:05 PM,06:05 PM,FREE,BUSY
